Image,Name,employerprofile_ratingcontainer_n4hxe,jobcard_seolink_wdqhz_URL,jobcard_seolink_wdqhz,Location,Salary,Description,Salary1,jobcard_easyapply_eiob,Description2,jobcard_listingage_kuaxz
,Londontown Inc,,"https://www.glassdoor.com/job-listing/creative-strategist-beauty-industry-londontown-inc-JV_KO0,35_KE36,50.htm?jl=1009041839312",Creative Strategist/Beauty Industry,United States,$50.00 - $70.00 Per Hour (Employer est.),"Proficient in market research methodologies and tools, especially related to social media and digital marketing trends. Market Research and Trend Monitoring:*.…",(Employer est.),Easy Apply,marketing,7d
https://media.glassdoor.com/sql/51/anheuser-busch-squareLogo-1643923973809.png,Anheuser-Busch,3.6,"https://www.glassdoor.com/job-listing/manager-shopper-marketing-anheuser-busch-JV_IC1132348_KO0,25_KE26,40.htm?jl=1009015300807",Manager Shopper Marketing,"New York, NY",$112K - $135K (Employer est.),"This role will be responsible for building programming, maintaining retailer relationships and developing long term strategies to drive business in key national……",(Employer est.),,,22d
https://media.glassdoor.com/sql/2500401/dropsuite-squarelogo-1667283436117.png,Dropsuite,4.9,"https://www.glassdoor.com/job-listing/channel-marketing-manager-emea-dropsuite-JV_KO0,30_KE31,40.htm?jl=1009002773540",Channel Marketing Manager - EMEA,Remote,,"Work closely with the sales team to develop sales enablement materials, providing them with the necessary marketing support and tools. What will you be doing.…",,,marketing,29d
https://media.glassdoor.com/sql/8728/see-s-candies-squarelogo.png,See's Candies,3.9,"https://www.glassdoor.com/job-listing/senior-manager-social-and-digital-media-marketing-see-s-candies-JV_IC1147401_KO0,49_KE50,63.htm?jl=1008981452222",Senior Manager Social and Digital Media Marketing,"San Francisco, CA",$130K - $140K (Employer est.),Develop and own a vision for social media strategy at See’s and deliver on engagement and awareness goals. Working knowledge of relevant social platforms and……,(Employer est.),,,30d+
https://media.glassdoor.com/sql/6598545/acumen-executive-search-squarelogo-1653997444627.png,Acumen Executive Search,,"https://www.glassdoor.com/job-listing/marketing-manager-acumen-executive-search-JV_IC1151614_KO0,17_KE18,41.htm?jl=1009047872877",Marketing Manager,"Portland, OR",$85K (Employer est.),"Content Creation: Create compelling and relevant content, including photography and video, for promotional materials, websites, social media, and advertising……",(Employer est.),Easy Apply,,1d
https://media.glassdoor.com/sql/2521509/rippling-squareLogo-1625607298901.png,Rippling,3.5,"https://www.glassdoor.com/job-listing/field-marketing-manager-channel-rippling-JV_KO0,31_KE32,40.htm?jl=1008985812508","Field Marketing Manager, Channel",Remote,$99K - $173K (Employer est.),You’ll find new ways to maximize our field marketing budget. Create and optimize field marketing playbooks that drive pipeline for our sales team.…,(Employer est.),,marketing,30d+
https://media.glassdoor.com/sql/355423/ramsey-solutions-squarelogo-1588795152508.png,Ramsey Solutions,4.0,"https://www.glassdoor.com/job-listing/digital-marketing-project-manager-ramsey-solutions-JV_IC1144541_KO0,33_KE34,50.htm?jl=1008967813547",Digital Marketing Project Manager,"Nashville, TN",$60K - $88K (Employer est.),Coach the team – we DON’T expect you to have all the answers or hand out assignments. Prioritize the in-progress work and make related critical decisions.…,(Employer est.),,,30d+
https://media.glassdoor.com/sql/1580540/visionary-squarelogo-1534223409330.png,"Visionary Access, Inc.",3.6,"https://www.glassdoor.com/job-listing/marketing-manager-remote-visionary-access-inc-JV_KO0,24_KE25,45.htm?jl=1009028986842",Marketing Manager (Remote),Remote,,*Part time roles:* Offered to those who can provide significant value on key projects and current operations with full accountability to manage their own……,,Easy Apply,,14d
https://media.glassdoor.com/sql/2062/hca-healthcare-squarelogo-1551127289039.png,HCA Healthcare,3.3,"https://www.glassdoor.com/job-listing/manager-marketing-strategy-hca-healthcare-JV_IC1144541_KO0,26_KE27,41.htm?jl=1009042475311",Manager Marketing Strategy,"Nashville, TN",$71K - $107K (Glassdoor est.),"Develops initiative proposals that include background analysis, strategy definition, project approach, resourcing, budgeting, timing, execution coordination,……",(Glassdoor est.),Easy Apply,,6d
https://media.glassdoor.com/sql/32531/uc-riverside-squarelogo.png,"University of California, Riverside",4.1,"https://www.glassdoor.com/job-listing/storyteller-and-manager-marketing-and-communications-university-of-california-riverside-JV_IC1147138_KO0,52_KE53,87.htm?jl=1008738898889","Storyteller and Manager, Marketing and Communications","Riverside, CA",$87K - $125K (Employer est.),"Advanced knowledge and understanding of technical applications to direct professional technical staff, or personally perform technical work, including design……",(Employer est.),,,30d+
